"event_type","user_id","episode_id","timestamp","duration"
"pause","user_22","ep_48","2024-01-16T03:26:19",
"pause","user_64","ep_41","2024-04-28T14:45:05",
"pause","user_56","ep_5","2024-04-11T09:46:00",
"seek","user_20","ep_13","2024-01-02T03:17:45",
"seek","user_10","ep_21","2024-03-05T02:37:22",
"seek","user_58","ep_10","2024-02-03T12:09:56",
"complete","user_15","ep_31","2024-02-14T13:34:16",1900
"seek","user_68","ep_1","2024-03-23T12:37:29",
"complete","user_20","ep_12","2024-03-24T12:06:00",3721
"pause","user_55","ep_11","2024-02-03T20:51:49",
"complete","user_56","ep_1","2024-03-31T08:24:32",1856
"pause","user_77","ep_46","2024-03-19T11:39:45",
"play","user_44","ep_43","2024-01-07T08:38:40",1101
"pause","user_86","ep_11","2024-01-31T19:19:18",
"seek","user_71","ep_25","2024-03-13T15:16:09",
"seek","user_10","ep_50","2024-02-26T23:38:08",
"play","user_22","ep_18","2024-04-30T16:38:56",3953
"play","user_60","ep_15","2024-01-14T18:50:42",5098
"seek","user_17","ep_15","2024-01-03T02:24:01",
"complete","user_64","ep_13","2024-02-11T14:16:57",5325
"pause","user_5","ep_34","2024-04-22T07:03:42",
"seek","user_61","ep_35","2024-04-14T14:14:20",
"pause","user_48","ep_24","2024-01-14T22:27:43",
"play","user_3","ep_49","2024-04-18T20:33:20",5114
"seek","user_22","ep_50","2024-04-20T11:02:13",
"pause","user_81","ep_38","2024-02-12T10:15:21",
"seek","user_63","ep_38","2024-02-16T05:45:36",
"play","user_19","ep_48","2024-01-07T13:07:46",4048
"pause","user_27","ep_11","2024-04-21T22:21:58",
"pause","user_75","ep_25","2024-04-05T06:55:53",
"play","user_82","ep_46","2024-03-18T08:15:54",1320
"complete","user_27","ep_26","2024-03-12T02:20:55",2557
"complete","user_89","ep_37","2024-02-24T06:21:44",2940
"play","user_56","ep_50","2024-02-28T03:59:56",160
"play","user_21","ep_7","2024-01-17T12:13:35",2103
"pause","user_5","ep_14","2024-03-02T11:59:58",
"pause","user_64","ep_38","2024-03-26T22:38:52",
"complete","user_9","ep_23","2024-04-18T02:37:52",3705
"pause","user_18","ep_16","2024-01-22T03:05:58",
"seek","user_40","ep_16","2024-01-01T09:21:40",
"seek","user_15","ep_20","2024-01-02T02:18:38",
"seek","user_86","ep_42","2024-04-11T18:48:10",
"seek","user_60","ep_14","2024-03-12T15:54:20",
"play","user_8","ep_7","2024-04-25T17:14:38",4297
"play","user_93","ep_23","2024-04-03T05:33:29",4655
"seek","user_9","ep_29","2024-01-03T03:16:30",
"play","user_86","ep_43","2024-02-29T12:19:42",3815
"seek","user_72","ep_32","2024-03-21T23:24:12",
"seek","user_100","ep_42","2024-02-28T11:27:15",
"complete","user_32","ep_16","2024-03-30T14:10:22",4404
"seek","user_71","ep_47","2024-01-03T19:12:46",
"pause","user_55","ep_43","2024-02-29T04:25:11",
"seek","user_32","ep_40","2024-04-17T21:15:59",
"seek","user_88","ep_6","2024-02-01T20:38:25",
"complete","user_99","ep_3","2024-02-03T08:08:00",4445
"play","user_87","ep_44","2024-02-08T04:47:07",2330
"seek","user_54","ep_29","2024-04-06T05:46:55",
"","user_92","ep_28","malformed-date",
"play","user_31","ep_29","2024-01-29T00:00:15",2994
"pause","user_55","ep_48","2024-03-26T20:54:43",
"complete","user_3","ep_10","2024-01-16T05:17:19",4544
"play","user_12","ep_31","2024-03-26T19:10:30",1499
"complete","user_89","ep_39","2024-02-02T07:44:15",3153
"seek","user_74","ep_12","2024-01-23T07:17:02",
"pause","user_52","ep_21","2024-03-19T18:05:48",
"complete","user_19","ep_50","2024-01-29T21:17:25",2674
"pause","user_93","ep_20","2024-03-04T14:52:38",
"complete","user_27","ep_8","2024-03-13T20:05:07",2843
"pause","user_29","ep_42","2024-04-19T19:19:48",
"pause","user_53","ep_43","2024-04-05T06:48:46",
"play","user_34","ep_6","2024-01-02T11:52:44",3343
"seek","user_60","ep_32","2024-02-19T05:33:12",
"pause","user_56","ep_24","2024-01-27T01:57:28",
"play","user_23","ep_7","2024-01-29T11:17:17",4836
"pause","user_22","ep_36","2024-01-06T10:58:04",
"complete","user_9","ep_23","2024-04-03T03:06:14",601
"play","user_66","ep_30","2024-03-07T01:37:38",2182
"complete","user_24","ep_14","2024-04-29T21:02:06",3370
"pause","user_54","ep_4","2024-02-13T10:21:52",
"play","user_18","ep_24","2024-03-29T12:57:33",4515
"play","user_87","ep_38","2024-01-23T11:52:34",4206
"pause","user_91","ep_36","2024-04-22T20:48:46",
"seek","user_98","ep_48","2024-02-24T12:56:50",
"complete","user_76","ep_7","2024-04-24T13:48:01",4370
"complete","user_37","ep_12","2024-03-04T13:00:31",5154
"play","user_86","ep_23","2024-01-10T15:55:20",5365
"complete","user_23","ep_16","2024-01-08T07:46:58",1480
"play","user_71","ep_50","2024-01-16T08:56:37",4411
"pause","user_49","ep_21","2024-01-07T05:04:59",
"pause","user_16","ep_40","2024-04-21T02:21:40",
"play","user_94","ep_23","2024-01-20T15:59:14",3368
"play","user_81","ep_25","2024-04-08T06:53:39",682
"play","user_100","ep_30","2024-03-02T11:20:35",1096
"pause","user_55","ep_13","2024-02-18T11:53:53",
"seek","user_8","ep_25","2024-04-05T03:00:45",
"seek","user_41","ep_37","2024-04-29T02:46:21",
"play","user_53","ep_25","2024-04-03T16:24:25",2537
"seek","user_66","ep_15","2024-03-14T17:05:12",
"complete","user_41","ep_50","2024-01-10T07:42:44",2806
"complete","user_62","ep_29","2024-04-28T12:06:17",3720
"play","user_18","ep_18","2024-03-22T04:54:20",862
"pause","user_10","ep_22","2024-03-07T06:59:15",
"complete","user_64","ep_14","2024-03-09T03:07:18",2137
"complete","user_87","ep_8","2024-01-29T22:35:16",443
"pause","user_84","ep_40","2024-01-09T11:39:40",
"seek","user_88","ep_12","2024-02-13T20:24:13",
"seek","user_44","ep_30","2024-02-04T18:51:53",
"complete","user_26","ep_17","2024-02-23T05:48:21",3098
"pause","user_44","ep_27","2024-02-27T19:13:57",
"seek","user_47","ep_47","2024-03-08T08:47:52",
"seek","user_23","ep_30","2024-01-06T05:25:42",
"play","user_27","ep_30","2024-01-21T03:27:25",1913
"play","user_67","ep_11","2024-03-26T04:03:26",4858
"pause","user_5","ep_31","2024-03-22T13:27:58",
"pause","user_12","ep_49","2024-02-18T15:09:56",
"play","user_3","ep_33","2024-04-26T10:07:45",3958
"complete","user_69","ep_25","2024-04-03T00:39:35",1980
"seek","user_4","ep_2","2024-01-23T16:09:53",
,"user_82","ep_11","malformed-date",
"seek","user_61","ep_24","2024-04-10T12:11:31",
"seek","user_42","ep_34","2024-02-05T23:58:49",
"pause","user_21","ep_2","2024-04-04T06:44:32",
"seek","user_100","ep_31","2024-03-31T09:57:38",
"play","user_100","ep_17","2024-03-19T05:46:22",2301
"play","user_9","ep_23","2024-01-19T14:53:32",332
"complete","user_68","ep_18","2024-01-21T23:48:35",1677
"complete","user_46","ep_1","2024-03-01T22:36:51",5161
"complete","user_83","ep_16","2024-02-12T02:33:13",2398
"complete","user_95","ep_43","2024-01-23T03:41:48",2186
"seek","user_11","ep_45","2024-01-13T10:56:48",
"play","user_11","ep_42","2024-04-02T08:59:37",3084
"pause","user_38","ep_5","2024-03-11T07:22:00",
"complete","user_75","ep_48","2024-03-04T08:01:33",2986
"play","user_62","ep_9","2024-04-01T16:01:16",3848
"seek","user_59","ep_33","2024-02-06T17:46:05",
"play","user_10","ep_17","2024-01-05T01:51:14",915
"pause","user_13","ep_33","2024-01-07T07:24:07",
"play","user_15","ep_24","2024-02-26T06:19:09",1921
"play","user_96","ep_1","2024-02-04T04:15:55",596
"play","user_86","ep_49","2024-04-05T14:24:22",3580
"pause","user_38","ep_16","2024-03-19T08:16:03",
"pause","user_6","ep_45","2024-04-09T15:27:01",
"pause","user_48","ep_22","2024-03-15T07:29:33",
"pause","user_34","ep_21","2024-02-12T02:05:57",
"seek","user_76","ep_17","2024-02-20T18:33:20",
"pause","user_50","ep_9","2024-03-09T09:02:46",
"seek","user_62","ep_32","2024-02-05T08:12:22",
"complete","user_44","ep_38","2024-04-06T23:21:01",2194
"play","user_29","ep_16","2024-01-07T21:06:39",1895
"complete","user_90","ep_37","2024-04-13T19:38:43",5208
"pause","user_33","ep_4","2024-04-01T11:57:30",
"seek","user_53","ep_18","2024-02-17T07:54:31",
"seek","user_89","ep_17","2024-01-16T04:00:56",
"seek","user_32","ep_15","2024-03-22T17:16:18",
"play","user_2","ep_44","2024-03-22T07:55:27",3499
"play","user_10","ep_9","2024-03-12T19:54:55",3378
"pause","user_88","ep_16","2024-02-04T23:07:04",
"play","user_42","ep_5","2024-01-08T17:13:02",4983
"play","user_83","ep_43","2024-02-20T05:52:27",3289
"pause","user_47","ep_46","2024-03-09T10:20:52",
"pause","user_2","ep_15","2024-04-20T10:33:26",
"complete","user_76","ep_14","2024-03-31T21:48:24",5048
"play","user_99","ep_46","2024-04-11T01:35:25",4018
"pause","user_50","ep_36","2024-01-29T03:27:28",
"complete","user_24","ep_17","2024-04-13T11:51:24",1336
"seek","user_98","ep_48","2024-02-29T03:26:05",
"pause","user_13","ep_41","2024-04-30T11:11:45",
"complete","user_72","ep_9","2024-04-13T08:03:36",1304
"pause","user_17","ep_16","2024-02-01T22:36:26",
"play","user_66","ep_4","2024-01-05T07:51:53",935
"play","user_34","ep_15","2024-04-23T16:19:39",1755
"play","user_90","ep_38","2024-02-19T03:56:45",374
"play","user_53","ep_15","2024-02-01T21:07:05",4133
"complete","user_38","ep_8","2024-03-14T12:15:01",1759
"seek","user_22","ep_8","2024-04-11T20:43:19",
"seek","user_95","ep_34","2024-01-03T03:15:44",
"pause","user_62","ep_5","2024-02-29T00:45:13",
"pause","user_52","ep_47","2024-02-03T02:29:06",
"pause","user_76","ep_9","2024-03-13T18:56:01",
"complete","user_29","ep_43","2024-01-31T15:00:11",2442
"pause","user_13","ep_10","2024-01-11T02:47:45",
"pause","user_53","ep_32","2024-01-25T19:35:54",
"play","user_10","ep_23","2024-04-19T18:07:33",1512
"seek","user_72","ep_29","2024-02-21T12:33:15",
"seek","user_2","ep_33","2024-03-05T19:59:45",
"pause","user_40","ep_22","2024-04-21T02:07:01",
"pause","user_82","ep_21","2024-04-11T23:45:11",
"play","user_5","ep_4","2024-04-16T23:38:42",3131
"seek","user_75","ep_5","2024-01-19T12:08:27",
"play","user_61","ep_38","2024-04-30T10:44:22",3767
"complete","user_19","ep_40","2024-03-13T05:41:02",2227
"complete","user_16","ep_18","2024-04-23T18:21:34",1523
"complete","user_87","ep_20","2024-02-23T13:59:04",4908
"complete","user_52","ep_15","2024-04-16T23:11:27",518
"seek","user_99","ep_23","2024-02-22T13:15:13",
"seek",,"ep_10","2024-04-06T22:38:40",
"complete","user_1","ep_20","2024-03-09T14:32:14",733
"pause","user_71","ep_48","2024-02-17T16:28:11",
"complete","user_35","ep_34","2024-04-25T03:04:26",5142
"pause","user_7","ep_24","2024-01-04T10:09:15",
"pause","user_100","ep_22","2024-01-14T04:33:33",
"seek","user_2","ep_20","2024-03-04T21:24:13",
"play","user_92","ep_44","2024-01-22T23:01:25",1808
"seek","user_28","ep_7","2024-01-16T16:06:31",
"complete","user_57","ep_13","2024-01-22T18:25:43",4974
"complete","user_72","ep_15","2024-04-13T02:53:28",2131
"play","user_81","ep_43","2024-04-27T07:57:20",2520
"seek",,"ep_33","2024-03-12T13:10:12",
"pause","user_36","ep_30","2024-03-09T11:18:17",
"play","user_3","ep_17","2024-04-27T14:06:02",171
"seek","user_11","ep_44","2024-02-18T06:40:52",
"play","user_64","ep_18","2024-01-03T16:41:30",3892
"complete","user_2","ep_13","2024-03-31T03:17:20",2323
"seek","user_31","ep_20","2024-04-11T05:18:12",
"seek","user_6","ep_27","2024-04-03T08:19:50",
"play","user_13","ep_27","2024-04-21T06:00:28",3191
"play","user_29","ep_2","2024-04-28T04:12:45",1911
"complete","user_43","ep_46","2024-04-28T19:51:29",1835
"complete","user_60","ep_40","2024-03-17T16:24:08",
"play","user_13","ep_45","2024-02-04T21:34:06",232
"pause","user_29","ep_49","2024-02-11T12:41:41",
"complete","user_12","ep_16","2024-02-23T20:34:49",4017
"pause","user_32","ep_43","2024-03-24T06:53:57",
"complete","user_86","ep_6","2024-01-25T21:48:01",4521
"complete","user_69","ep_41","2024-01-22T10:29:41",2620
"play","user_38","ep_18","2024-02-06T16:44:03",307
"play","user_35","ep_46","2024-02-16T14:54:24",1242
"seek","user_40","ep_47","2024-04-17T05:09:01",
"seek","user_39","ep_18","2024-03-04T03:35:18",
"seek","user_17","ep_5","2024-02-16T09:49:42",
"pause","user_6","ep_21","2024-01-12T07:44:00",
"pause","user_38","ep_6","2024-03-05T03:49:57",
"pause","user_85","ep_32","2024-03-30T06:04:00",
"complete","user_100","ep_49","2024-02-06T02:08:12",3662
"complete","user_38","ep_17","2024-04-03T21:19:05",4583
"complete","user_21","ep_30","2024-01-27T21:50:55",2907
"seek","user_93","ep_12","2024-03-10T11:06:05",
"complete","user_83","ep_5","2024-01-24T11:15:21",3338
"pause","user_76","ep_34","2024-03-31T04:03:53",
"pause","user_9","ep_25","2024-04-05T22:38:58",
"complete","user_5","ep_39","2024-04-15T06:16:01",995
"play","user_9","ep_19","2024-03-17T16:45:31",3990
"seek",,"ep_48","2024-04-26T20:03:59",
"seek","user_76","ep_12","2024-04-13T08:16:38",
"seek","user_59","ep_42","2024-03-15T09:48:50",
"complete","user_65","ep_19","2024-01-27T21:27:34",618
"complete","user_43","ep_39","2024-01-10T06:55:34",118
"seek","user_71","ep_18","2024-01-29T22:17:55",
"pause","user_98","ep_44","2024-01-12T07:01:35",
"seek","user_95","ep_39","2024-02-19T23:54:45",
"seek","user_23","ep_25","2024-04-05T19:06:01",
"play","user_47","ep_40","2024-03-08T17:17:22",4988
"play","user_55","ep_44","2024-02-01T00:51:07",1714
"play","user_11","ep_43","2024-01-10T19:19:43",4649
"pause","user_59","ep_8","2024-03-11T23:44:49",
"seek","user_87","ep_44","2024-03-14T18:26:06",
"play","user_99","ep_14","2024-01-24T20:20:08",615
"seek","user_20","ep_46","2024-03-04T09:22:32",
"pause","user_58","ep_5","2024-01-14T15:16:29",
"complete","user_69","ep_44","2024-01-09T04:11:47",2758
"seek","user_76","ep_45","2024-03-11T08:27:41",
"seek","user_13","ep_44","2024-01-26T19:38:16",
"play","user_65","ep_35","2024-01-02T06:01:15",4349
"complete","user_57","ep_7","2024-04-01T18:04:43",4408
"complete","user_84","ep_48","2024-02-13T09:32:50",4604
"complete","user_91","ep_40","2024-03-11T00:25:46",2291
"complete","user_27","ep_12","2024-04-23T11:28:09",1391
"pause","user_97","ep_40","2024-02-27T07:51:27",
"play","user_34","ep_30","2024-03-10T05:46:30",4671
"pause","user_65","ep_18","2024-03-25T15:12:00",
"complete","user_22","ep_36","2024-02-17T00:52:25",4032
"play","user_34","ep_47","2024-01-24T16:23:32",488
"play","user_77","ep_31","2024-04-23T05:24:32",2992
"complete","user_77","ep_32","2024-02-10T03:20:20",71
"pause","user_57","ep_30","2024-01-04T03:40:29",
"pause","user_56","ep_38","2024-04-15T00:59:45",
"complete","user_68","ep_44","2024-02-29T15:00:22",2616
"complete","user_68","ep_7","2024-03-08T19:33:31",2915
"seek","user_53","ep_31","2024-03-11T12:34:24",
"pause","user_50","ep_29","2024-01-10T12:57:15",
"pause","user_71","ep_27","2024-04-11T13:55:05",
"pause","user_19","ep_39","2024-02-19T16:59:19",
"complete","user_70","ep_7","2024-01-07T10:43:02",4381
"pause","user_82","ep_35","2024-02-06T23:48:29",
"play","user_97","ep_29","2024-01-11T01:23:33",4169
"complete","user_30","ep_21","2024-04-21T02:08:17",4672
"seek","user_80","ep_15","2024-04-06T23:40:36",
"pause","user_3","ep_20","2024-01-09T07:14:25",
"complete","user_90","ep_16","2024-01-14T05:37:48",3592
"play","user_20","ep_37","2024-02-02T21:18:33",683
"complete","user_53","ep_4","2024-01-20T03:09:17",1978
"complete","user_93","ep_19","2024-04-28T20:42:15",2104
"pause","user_92","ep_47","2024-04-28T12:50:27",
"play","user_13","ep_49","2024-04-16T04:51:19",1305
"pause","user_81","ep_41","2024-02-12T21:43:23",
"pause","user_77","ep_46","2024-01-19T15:24:14",
"play","user_14","ep_14","2024-01-25T05:19:22",4570
"pause","user_49","ep_46","2024-02-01T14:01:00",
"complete","user_20","ep_24","2024-04-08T00:22:50",2904
"play","user_47","ep_15","2024-02-29T15:20:01",1681
"play","user_35","ep_1","2024-02-14T09:38:02",2129
"pause","user_3","ep_20","2024-01-13T19:06:37",
"seek","user_75","ep_22","2024-02-11T02:53:56",
"complete","user_96","ep_35","2024-03-26T01:11:54",1760
"pause","user_16","ep_20","2024-02-18T22:01:43",
"complete","user_82","ep_24","2024-04-13T23:38:29",903
"pause","user_56","ep_29","2024-03-06T12:27:49",
"complete","user_47","ep_46","2024-04-17T15:22:47",4317
"seek","user_28","ep_2","2024-01-18T07:56:47",
"pause","user_48","ep_17","2024-01-17T15:31:54",
"play","user_13","ep_44","2024-03-31T20:25:34",2534
"complete","user_38","ep_14","2024-01-17T09:33:47",1607
"seek","user_45","ep_9","2024-03-14T04:27:02",
"pause","user_97","ep_7","2024-01-25T01:43:36",
"seek","user_10","ep_1","2024-01-31T13:26:37",
"pause","user_9","ep_48","2024-01-10T00:01:36",
"seek","user_73","ep_20","2024-04-02T12:05:03",
"complete","user_22","ep_19","2024-03-27T17:25:49",5142
"play","user_95","ep_44","2024-03-10T09:12:07",2553
"play","user_87","ep_17","2024-01-13T20:10:30",4522
"complete","user_29","ep_9","2024-03-17T19:07:47",2384
"pause","user_79","ep_26","2024-03-10T17:16:08",
"seek","user_76","ep_29","2024-03-18T00:33:55",
"seek","user_92","ep_44","2024-03-21T02:27:23",
"pause","user_55","ep_17","2024-02-25T08:25:29",
"pause","user_76","ep_30","2024-02-05T16:52:19",
"pause","user_35","ep_37","2024-03-15T23:18:12",
"complete","user_28","ep_13","2024-01-09T19:32:37",3597
"play","user_78","ep_44","2024-01-07T00:28:12",1982
"seek","user_35","ep_26","2024-04-01T06:26:30",
"seek","user_23","ep_10","2024-02-27T06:25:03",
"complete","user_99","ep_19","2024-04-18T05:18:05",91
"pause","user_27","ep_5","2024-02-25T11:20:19",
"pause","user_88","ep_25","2024-03-05T14:16:09",
"play","user_97","ep_20","2024-04-01T07:30:57",2615
"seek","user_57","ep_13","2024-02-19T09:32:38",
"complete","user_4","ep_20","2024-01-25T23:25:49",4586
"seek","user_39","ep_23","2024-04-25T12:25:03",
"play","user_31","ep_49","2024-03-05T19:28:55",649
"play","user_49","ep_15","2024-03-24T02:11:46",982
"play","user_66","ep_31","2024-01-27T18:12:05",2085
"pause","user_11","ep_11","2024-02-13T17:42:38",
"play","user_30","ep_40","2024-01-03T07:17:18",2127
"pause","user_16","ep_25","2024-02-02T13:00:41",
"pause","user_71","ep_26","2024-01-01T12:39:11",
"seek","user_31","ep_45","2024-02-08T06:56:43",
"seek","user_88","ep_26","2024-01-02T17:24:53",
"complete","user_51","ep_13","2024-01-10T21:34:36",915
"play","user_43","ep_40","2024-04-09T01:22:23",1294
"play","user_51","ep_48","2024-02-10T02:57:24",3422
"seek","user_19","ep_1","2024-03-27T07:53:57",
"seek","user_34","ep_16","2024-04-17T15:03:58",
"seek","user_82","ep_20","2024-03-04T03:12:55",
"pause","user_21","ep_2","2024-04-23T05:32:31",
"play","user_37","ep_14","2024-02-21T08:17:27",2287
"play","user_15","ep_2","2024-02-01T18:59:14",307
"play","user_51","ep_42","2024-02-06T06:56:56",4820
"pause","user_48","ep_44","2024-04-01T06:45:01",
"pause","user_83","ep_30","2024-04-06T05:06:54",
"play","user_94","ep_17","2024-03-21T17:54:15",2059
"pause","user_46","ep_40","2024-04-04T23:52:27",
"pause","user_20","ep_50","2024-04-07T22:56:30",
"pause","user_85","ep_47","2024-02-21T13:14:23",
"pause","user_44","ep_11","2024-01-05T02:32:55",
"seek","user_78","ep_35","2024-02-04T22:56:19",
"complete","user_90",,"2024-04-01T17:10:44",482
"seek","user_41","ep_38","2024-02-20T06:49:47",
"seek","user_83","ep_33","2024-04-29T08:50:06",
"play","user_99","ep_46","2024-02-12T10:30:29",2795
"seek","user_49","ep_29","2024-03-25T17:52:30",
"complete","user_49","ep_8","2024-03-16T01:37:37",461
"seek","user_62","ep_15","2024-02-29T19:35:34",
"complete","user_92","ep_11","2024-02-15T19:57:41",1400
"seek","user_59","ep_29","2024-02-25T05:21:04",
"seek","user_30","ep_23","2024-03-03T05:32:03",
"seek","user_58","ep_16","2024-02-19T11:17:28",
"seek","user_67","ep_45","2024-03-02T07:27:55",
"pause","user_1","ep_42","2024-03-09T01:11:14",
"play","user_5","ep_39","2024-01-05T07:19:58",5308
"seek","user_50","ep_44","2024-04-03T02:54:16",
"complete","user_100","ep_30","2024-02-24T08:15:25",4809
"seek","user_34","ep_47","2024-01-12T11:23:59",
"play","user_25","ep_22","2024-03-04T03:24:27",1074
"seek","user_11","ep_29","2024-02-04T15:22:31",
"play","user_15","ep_11","2024-03-15T05:20:14",2525
"pause","user_35","ep_49","2024-02-17T05:40:18",
"seek","user_58","ep_10","2024-01-24T04:13:40",
"complete","user_33","ep_41","2024-02-08T13:49:16",2946
"seek","user_34","ep_41","2024-04-01T08:02:36",
"pause","user_60","ep_42","2024-04-16T07:38:54",
"complete","user_37","ep_34","2024-01-28T04:33:31",4452
"seek","user_26","ep_45","2024-04-15T13:12:32",
"play","user_35","ep_9","2024-04-30T21:03:02",141
"play","user_61","ep_50","2024-02-12T22:16:19",4937
"play","user_82","ep_13","2024-03-22T21:01:22",4570
"play","user_28","ep_29","2024-02-10T23:00:11",1060
"pause","user_70","ep_29","2024-04-29T00:25:29",
"complete",,"ep_26","2024-01-13T13:32:22",2425
"play","user_100","ep_44","2024-02-22T23:47:26",3833
"pause","user_98","ep_48","2024-04-03T20:39:00",
"play","user_89","ep_40","2024-01-28T04:51:31",3333
"","user_96","ep_41",,
"seek","user_56","ep_23","2024-01-21T17:11:53",
"complete","user_48","ep_19","2024-02-15T21:26:03",5322
"pause","user_20","ep_7","2024-04-30T04:43:37",
"complete","user_30","ep_8","2024-03-08T03:55:47",588
"complete","user_17","ep_44","2024-02-10T21:41:21",2650
"seek","user_99","ep_13","2024-03-24T17:07:15",
"complete","user_89","ep_40","2024-01-19T06:32:49",2946
"pause","user_8","ep_18","2024-01-11T17:29:21",
"play","user_68","ep_17","2024-01-01T10:52:00",847
"seek","user_2","ep_13","2024-04-06T08:11:41",
"pause","user_99","ep_20","2024-03-03T21:09:04",
"play","user_95","ep_44","2024-01-05T17:37:34",2435
"seek",,"ep_11","2024-03-20T22:28:25",
"seek","user_77","ep_11","2024-02-28T05:41:08",
"seek","user_9","ep_16","2024-02-22T01:17:35",
"complete","user_62","ep_50","2024-01-27T11:50:32",3735
"pause","user_26","ep_49","2024-03-24T14:15:30",
"seek","user_75","ep_46","2024-03-18T21:38:08",
"play","user_24","ep_37","2024-02-10T13:02:06",1357
"seek","user_81","ep_43","2024-02-23T17:18:52",
"pause","user_87","ep_39","2024-01-14T06:40:12",
"pause","user_46","ep_12","2024-03-12T08:21:10",
"complete","user_6","ep_6","2024-02-29T11:34:41",555
"pause","user_39","ep_10","2024-02-16T00:46:51",
"seek","user_88","ep_5","2024-01-21T20:49:23",
"play","user_89","ep_48","2024-01-15T16:34:07",4025
"seek","user_55","ep_38","2024-02-05T23:31:26",
"seek","user_92","ep_28","2024-01-16T14:13:32",
"pause","user_42","ep_31","2024-04-04T02:32:59",
"play","user_24","ep_20","2024-02-28T05:47:09",1586
